,holiday,snow_1h,weather_main,weather_description,holiday_binary,temp_celsius,quarter,work_status,snow_1h_cumsum,traffic_volume
2012-10-02 09:00:00,7,0.0,1,24,0,0.673215356928614,4,1,0.0,5545
2012-10-02 10:00:00,7,0.0,1,2,0,0.689412117576485,4,1,0.0,4516
2012-10-02 11:00:00,7,0.0,1,19,0,0.6927114577084582,4,1,0.0,4767
2012-10-02 12:00:00,7,0.0,1,19,0,0.7009598080383924,4,1,0.0,5026
2012-10-02 13:00:00,7,0.0,1,2,0,0.7161067786442711,4,1,0.0,4918
2012-10-02 14:00:00,7,0.0,0,27,0,0.724805038992202,4,1,0.0,5181
2012-10-02 15:00:00,7,0.0,0,27,0,0.746550689862028,4,1,0.0,5584
2012-10-02 16:00:00,7,0.0,0,27,0,0.7568986202759451,4,1,0.0,6015
2012-10-02 17:00:00,7,0.0,1,4,0,0.7610977804439112,4,1,0.0,5791
2012-10-02 18:00:00,7,0.0,1,4,0,0.7455008998200364,4,0,0.0,4770
2012-10-02 19:00:00,7,0.0,1,4,0,0.7135572885422921,4,0,0.0,3539
2012-10-02 20:00:00,7,0.0,0,27,0,0.6897120575884824,4,0,0.0,2784
2012-10-02 21:00:00,7,0.0,0,27,0,0.678164367126575,4,0,0.0,2361
2012-10-02 22:00:00,7,0.0,0,27,0,0.6564187162567492,4,0,0.0,1529
2012-10-02 23:00:00,7,0.0,0,27,0,0.6307738452309538,4,0,0.0,963
2012-10-03 00:00:00,7,0.0,0,27,0,0.6184763047390522,4,0,0.0,506
2012-10-03 01:00:00,7,0.0,0,27,0,0.601079784043192,4,0,0.0,321
2012-10-03 02:00:00,7,0.0,0,27,0,0.5667366526694664,4,0,0.0,273
2012-10-03 03:00:00,7,0.0,0,27,0,0.5653869226154766,4,0,0.0,367
2012-10-03 04:00:00,7,0.0,0,27,0,0.5419916016796638,4,0,0.0,814
2012-10-03 05:00:00,7,0.0,0,27,0,0.5283443311337734,4,0,0.0,2718
2012-10-03 06:00:00,7,0.0,0,27,0,0.5224955008998204,4,0,0.0,5673
2012-10-03 08:00:00,7,0.0,0,27,0,0.5208458308338334,4,0,0.0,6511
2012-10-03 09:00:00,7,0.0,0,27,0,0.5862327534493106,4,1,0.0,5471
2012-10-03 12:00:00,7,0.0,0,27,0,0.7285542891421721,4,1,0.0,5097
2012-10-03 13:00:00,7,0.0,0,27,0,0.7474505098980208,4,1,0.0,4887
2012-10-03 14:00:00,7,0.0,0,27,0,0.763647270545891,4,1,0.0,5337
2012-10-03 15:00:00,7,0.0,0,27,0,0.776544691061788,4,1,0.0,5692
2012-10-03 16:00:00,7,0.0,0,27,0,0.7759448110377924,4,1,0.0,6137
2012-10-03 18:00:00,7,0.0,1,4,0,0.7538992201559693,4,0,0.0,4623
2012-10-03 19:00:00,7,0.0,1,4,0,0.7087582483503297,4,0,0.0,3591
2012-10-03 20:00:00,7,0.0,1,4,0,0.6718656268746251,4,0,0.0,2898
2012-10-03 21:00:00,7,0.0,0,27,0,0.6555188962207563,4,0,0.0,2637
2012-10-03 22:00:00,7,0.0,0,27,0,0.642771445710858,4,0,0.0,1777
2012-10-03 23:00:00,7,0.0,0,27,0,0.6279244151169766,4,0,0.0,1015
2012-10-04 00:00:00,7,0.0,0,27,0,0.6172765446910621,4,0,0.0,598
2012-10-04 01:00:00,7,0.0,0,27,0,0.601079784043192,4,0,0.0,369
2012-10-04 02:00:00,7,0.0,0,27,0,0.5965806838632277,4,0,0.0,312
2012-10-04 03:00:00,7,0.0,0,27,0,0.5796340731853634,4,0,0.0,367
2012-10-04 04:00:00,7,0.0,0,27,0,0.574385122975405,4,0,0.0,835
2012-10-04 05:00:00,7,0.0,0,27,0,0.5688362327534493,4,0,0.0,2726
2012-10-04 06:00:00,7,0.0,0,27,0,0.5601379724055192,4,0,0.0,5689
2012-10-04 07:00:00,7,0.0,0,27,0,0.5575884823035393,4,0,0.0,6990
2012-10-04 08:00:00,7,0.0,0,27,0,0.5769346130773849,4,0,0.0,5985
2012-10-04 09:00:00,7,0.0,0,27,0,0.6237252549490107,4,1,0.0,5309
2012-10-04 10:00:00,7,0.0,0,27,0,0.6867126574685065,4,1,0.0,4603
2012-10-04 11:00:00,7,0.0,0,27,0,0.7222555488902223,4,1,0.0,4884
2012-10-04 12:00:00,7,0.0,0,27,0,0.7735452909418121,4,1,0.0,5104
2012-10-04 13:00:00,7,0.0,0,27,0,0.7946910617876425,4,1,0.0,5178
2012-10-04 14:00:00,7,0.0,0,27,0,0.8087882423515297,4,1,0.0,5501
2012-10-04 15:00:00,7,0.0,0,27,0,0.821535692861428,4,1,0.0,5713
2012-10-04 16:00:00,7,0.0,1,4,0,0.8198860227954411,4,1,0.0,6292
2012-10-04 17:00:00,7,0.0,1,4,0,0.8140371925614881,4,1,0.0,6057
2012-10-04 18:00:00,7,0.0,1,24,0,0.7943911217756452,4,0,0.0,4907
2012-10-04 19:00:00,7,0.0,1,24,0,0.7567486502699465,4,0,0.0,3503
2012-10-04 20:00:00,7,0.0,1,24,0,0.7354529094181166,4,0,0.0,3037
2012-10-04 21:00:00,7,0.0,1,2,0,0.7255548890221954,4,0,0.0,2822
2012-10-04 22:00:00,7,0.0,1,2,0,0.719406118776245,4,0,0.0,1992
2012-10-04 23:00:00,7,0.0,1,2,0,0.7158068386322738,4,0,0.0,1166
2012-10-05 00:00:00,7,0.0,1,2,0,0.7084583083383323,4,0,0.0,627
2012-10-05 01:00:00,7,0.0,1,24,0,0.7059088182363525,4,0,0.0,388
2012-10-05 03:00:00,7,0.0,0,27,0,0.6879124175164967,4,0,0.0,368
2012-10-05 05:00:00,7,0.0,1,2,0,0.5971805638872224,4,0,0.0,2489
2012-10-05 06:00:00,7,0.0,1,19,0,0.5826334733053392,4,0,0.0,5537
2012-10-05 07:00:00,7,0.0,1,19,0,0.574385122975405,4,0,0.0,6628
2012-10-05 08:00:00,7,0.0,1,19,0,0.5575884823035393,4,0,0.0,5534
2012-10-05 09:00:00,7,0.0,1,2,0,0.5493401319736052,4,1,0.0,5403
2012-10-05 10:00:00,7,0.0,1,2,0,0.5506898620275948,4,1,0.0,4770
2012-10-05 11:00:00,7,0.0,1,19,0,0.5490401919616078,4,1,0.0,5217
2012-10-05 12:00:00,7,0.0,1,19,0,0.5569886022795438,4,1,0.0,5870
2012-10-05 13:00:00,7,0.0,1,2,0,0.5704859028194363,4,1,0.0,5967
2012-10-05 14:00:00,7,0.0,1,19,0,0.5757348530293939,4,1,0.0,6108
2012-10-05 15:00:00,7,0.0,1,19,0,0.5776844631073791,4,1,0.0,6128
2012-10-05 16:00:00,7,0.0,1,19,0,0.5749850029994006,4,1,0.0,6069
2012-10-05 17:00:00,7,0.0,1,19,0,0.5703359328134378,4,1,0.0,6169
2012-10-05 18:00:00,7,0.0,1,19,0,0.5620875824835035,4,0,0.0,5384
2012-10-05 19:00:00,7,0.0,1,19,0,0.5512897420515895,4,0,0.0,4063
2012-10-05 20:00:00,7,0.0,1,19,0,0.5457408518296338,4,0,0.0,3364
2012-10-05 21:00:00,7,0.0,1,2,0,0.5437912417516495,4,0,0.0,2971
2012-10-05 22:00:00,7,0.0,1,24,0,0.5373425314937018,4,0,0.0,2450
2012-10-05 23:00:00,7,0.0,1,24,0,0.5349430113977206,4,0,0.0,1832
2012-10-06 00:00:00,7,0.0,1,19,0,0.5311937612477506,4,0,0.0,1231
2012-10-06 01:00:00,7,0.0,1,19,0,0.527294541091782,4,0,0.0,718
2012-10-06 02:00:00,7,0.0,1,19,0,0.5278944211157767,4,0,0.0,545
2012-10-06 04:00:00,7,0.0,1,2,0,0.5038992201559691,4,0,0.0,411
2012-10-06 05:00:00,7,0.0,1,4,0,0.4943011397720461,4,0,0.0,688
2012-10-06 06:00:00,7,0.0,0,27,0,0.48005398920215936,4,0,0.0,1352
2012-10-06 07:00:00,7,0.0,0,27,0,0.4766046790641876,4,0,0.0,2072
2012-10-06 08:00:00,7,0.0,0,27,0,0.4739052189562091,4,0,0.0,3342
2012-10-06 09:00:00,7,0.0,1,24,0,0.4754049190161965,4,1,0.0,4258
2012-10-06 10:00:00,7,0.0,1,4,0,0.5022495500899821,4,1,0.0,4861
2012-10-06 11:00:00,7,0.0,1,4,0,0.5196460707858432,4,1,0.0,5191
2012-10-06 12:00:00,7,0.0,1,24,0,0.535242951409718,4,1,0.0,5669
2012-10-06 13:00:00,7,0.0,1,2,0,0.5508398320335935,4,1,0.0,5074
2012-10-06 14:00:00,7,0.0,1,2,0,0.5527894421115779,4,1,0.0,5025
2012-10-06 15:00:00,7,0.0,1,2,0,0.5490401919616078,4,1,0.0,5153
2012-10-06 16:00:00,7,0.0,1,19,0,0.5349430113977206,4,1,0.0,5024
2012-10-06 17:00:00,7,0.0,1,19,0,0.532693461307739,4,1,0.0,4779
2012-10-06 18:00:00,7,0.0,1,19,0,0.5248950209958008,4,0,0.0,4362
2012-10-06 19:00:00,7,0.0,1,19,0,0.521445710857829,4,0,0.0,3860
2012-10-06 20:00:00,7,0.0,1,19,0,0.521445710857829,4,0,0.0,3160
2012-10-06 21:00:00,7,0.0,1,19,0,0.5179964007198563,4,0,0.0,2992
2012-10-06 22:00:00,7,0.0,1,19,0,0.5025494901019795,4,0,0.0,3202
2012-10-06 23:00:00,7,0.0,1,2,0,0.49415116976604656,4,0,0.0,1941
2012-10-07 00:00:00,7,0.0,1,2,0,0.4907018596280747,4,0,0.0,1233
2012-10-07 03:00:00,7,0.0,1,19,0,0.4850029994001204,4,0,0.0,323
2012-10-07 04:00:00,7,0.0,1,19,0,0.4838032393521294,4,0,0.0,312
2012-10-07 05:00:00,7,0.0,1,2,0,0.4817036592681464,4,0,0.0,627
2012-10-07 06:00:00,7,0.0,1,19,0,0.4748050389922019,4,0,0.0,1508
2012-10-07 07:00:00,7,0.0,1,19,0,0.47060587882423505,4,0,0.0,1539
2012-10-07 08:00:00,7,0.0,1,2,0,0.47060587882423505,4,0,0.0,2232
2012-10-07 09:00:00,7,0.0,1,2,0,0.4823035392921419,4,1,0.0,4568
2012-10-07 10:00:00,7,0.0,1,2,0,0.49265146970605905,4,1,0.0,4624
2012-10-07 11:00:00,7,0.0,1,19,0,0.5041991601679664,4,1,0.0,4529
2012-10-07 12:00:00,7,0.0,1,19,0,0.5104979004199163,4,1,0.0,5139
2012-10-07 13:00:00,7,0.0,1,19,0,0.5257948410317936,4,1,0.0,6640
2012-10-07 14:00:00,7,0.0,1,19,0,0.5380923815236951,4,1,0.0,6589
2012-10-07 15:00:00,7,0.0,1,19,0,0.5380923815236951,4,1,0.0,4429
2012-10-07 16:00:00,7,0.0,1,19,0,0.540641871625675,4,1,0.0,4329
2012-10-07 17:00:00,7,0.0,1,19,0,0.5388422315536893,4,1,0.0,3833
2012-10-07 18:00:00,7,0.0,1,19,0,0.5380923815236951,4,0,0.0,4015
2012-10-07 19:00:00,7,0.0,1,19,0,0.5206958608278348,4,0,0.0,3382
2012-10-07 20:00:00,7,0.0,1,2,0,0.5008998200359933,4,0,0.0,2815
2012-10-07 21:00:00,7,0.0,1,19,0,0.4850029994001204,4,0,0.0,2110
2012-10-07 22:00:00,7,0.0,1,2,0,0.47225554889022203,4,0,0.0,1555
2012-10-07 23:00:00,7,0.0,1,4,0,0.45785842831433754,4,0,0.0,959
2012-10-08 00:00:00,1,0.0,1,4,1,0.44526094781043785,4,0,0.0,455
2012-10-08 01:00:00,7,0.0,1,4,0,0.43836232753449333,4,0,0.0,336
2012-10-08 02:00:00,7,0.0,0,27,0,0.42576484703059364,4,0,0.0,265
2012-10-08 03:00:00,7,0.0,0,27,0,0.4148170365926818,4,0,0.0,314
2012-10-08 04:00:00,7,0.0,0,27,0,0.40851829634073195,4,0,0.0,779
2012-10-08 05:00:00,7,0.0,0,27,0,0.40401919616076776,4,0,0.0,2571
